time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.front_left,.front_right,.rear_left,.rear_right
2021/09/10/13:55:42.483712,7588,1631296542,483354568,,42.0,41.0,42.0,43.0
2021/09/10/13:55:42.499731,7589,1631296542,499387979,,42.0,41.0,42.0,43.0
2021/09/10/13:55:42.526021,7590,1631296542,525358438,,42.0,41.0,42.0,43.0
2021/09/10/13:55:42.542122,7591,1631296542,541409015,,42.0,41.0,42.0,43.0
2021/09/10/13:55:42.558129,7592,1631296542,557415485,,42.0,41.0,50.0,43.0
2021/09/10/13:55:42.584090,7593,1631296542,583407878,,42.0,47.0,50.0,43.0
2021/09/10/13:55:42.599689,7594,1631296542,599243879,,42.0,47.0,50.0,50.0
2021/09/10/13:55:42.626148,7595,1631296542,625341892,,42.0,47.0,50.0,50.0
2021/09/10/13:55:42.641818,7596,1631296542,641239404,,42.0,47.0,50.0,50.0
2021/09/10/13:55:42.657891,7597,1631296542,657321214,,42.0,47.0,50.0,50.0
2021/09/10/13:55:42.684218,7598,1631296542,683270215,,52.0,47.0,50.0,50.0
2021/09/10/13:55:42.699711,7599,1631296542,699165344,,52.0,47.0,50.0,50.0
2021/09/10/13:55:42.725507,7600,1631296542,725049972,,52.0,47.0,50.0,50.0
2021/09/10/13:55:42.741970,7601,1631296542,741168737,,52.0,47.0,50.0,50.0
2021/09/10/13:55:42.757259,7602,1631296542,756963014,,52.0,47.0,50.0,50.0
2021/09/10/13:55:42.783492,7603,1631296542,783031940,,52.0,47.0,56.0,50.0
2021/09/10/13:55:42.799582,7604,1631296542,798971891,,52.0,54.0,56.0,56.0
2021/09/10/13:55:42.825308,7605,1631296542,824818611,,52.0,54.0,56.0,56.0
2021/09/10/13:55:42.841316,7606,1631296542,840810298,,52.0,54.0,56.0,56.0
2021/09/10/13:55:42.857466,7607,1631296542,856851100,,52.0,54.0,56.0,56.0
2021/09/10/13:55:42.884683,7608,1631296542,883918523,,58.0,54.0,56.0,56.0
2021/09/10/13:55:42.900390,7609,1631296542,899735450,,58.0,54.0,56.0,56.0
2021/09/10/13:55:42.926177,7610,1631296542,925714254,,58.0,54.0,56.0,56.0
2021/09/10/13:55:42.942416,7611,1631296542,941744804,,58.0,54.0,56.0,56.0
2021/09/10/13:55:42.958646,7612,1631296542,957710027,,58.0,54.0,63.0,56.0
2021/09/10/13:55:42.984210,7613,1631296542,983615398,,58.0,54.0,63.0,66.0
2021/09/10/13:55:43.000318,7614,1631296542,999692678,,58.0,60.0,63.0,66.0
2021/09/10/13:55:43.025982,7615,1631296543,25566339,,58.0,60.0,63.0,66.0
