time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.front_left,.front_right,.rear_left,.rear_right
2021/09/10/13:52:49.457789,2008,1631296369,457576751,,1,60,62,64
2021/09/10/13:52:49.483816,2009,1631296369,483503580,,2,60,62,64
2021/09/10/13:52:49.499583,2010,1631296369,499408006,,3,60,62,64
2021/09/10/13:52:49.525633,2011,1631296369,525425195,,4,60,62,64
2021/09/10/13:52:49.541793,2012,1631296369,541464090,,5,60,62,64
2021/09/10/13:52:49.557842,2013,1631296369,557454586,,6,60,63,64
2021/09/10/13:52:49.584163,2014,1631296369,583497285,,7,60,63,66
2021/09/10/13:52:49.600137,2015,1631296369,599497795,,8,63,63,66
2021/09/10/13:52:49.626057,2016,1631296369,625336885,,9,63,63,66
2021/09/10/13:52:49.642189,2017,1631296369,641388654,,10,63,63,66
2021/09/10/13:52:49.658415,2018,1631296369,657394647,,11,63,63,66
2021/09/10/13:52:49.684914,2019,1631296369,684322357,,12,63,63,66
2021/09/10/13:52:49.701027,2020,1631296369,700319528,,13,63,63,66
2021/09/10/13:52:49.727020,2021,1631296369,726188659,,14,63,63,66
2021/09/10/13:52:49.742935,2022,1631296369,742205142,,15,63,67,66
2021/09/10/13:52:49.758654,2023,1631296369,758149623,,16,68,67,70
2021/09/10/13:52:49.784563,2024,1631296369,784012556,,17,68,67,70
2021/09/10/13:52:49.800437,2025,1631296369,799953222,,18,68,67,70
2021/09/10/13:52:49.826737,2026,1631296369,825948953,,19,68,67,70
2021/09/10/13:52:49.842478,2027,1631296369,841960430,,20,68,67,70
2021/09/10/13:52:49.859089,2028,1631296369,857942342,,21,68,67,70
2021/09/10/13:52:49.884463,2029,1631296369,883886337,,22,68,67,70
2021/09/10/13:52:49.900402,2030,1631296369,899854421,,23,68,67,70
2021/09/10/13:52:49.926545,2031,1631296369,925709724,,24,68,68,72
2021/09/10/13:52:49.942594,2032,1631296369,941746711,,25,72,68,72
2021/09/10/13:52:49.958755,2033,1631296369,957749843,,26,72,68,72
2021/09/10/13:52:49.984175,2034,1631296369,983675956,,27,72,68,72
2021/09/10/13:52:50.000412,2035,1631296369,999713182,,28,72,68,72
2021/09/10/13:52:50.026180,2036,1631296370,25556087,,29,72,68,72
2021/09/10/13:52:50.042070,2037,1631296370,41555166,,30,72,68,72
2021/09/10/13:52:50.058489,2038,1631296370,57620763,,31,72,68,72
2021/09/10/13:52:50.084165,2039,1631296370,83506584,,32,72,70,74
2021/09/10/13:52:50.099971,2040,1631296370,99382400,,33,75,70,74
2021/09/10/13:52:50.125844,2041,1631296370,125398397,,34,75,70,74
2021/09/10/13:52:50.142206,2042,1631296370,141494989,,35,75,70,74
2021/09/10/13:52:50.157841,2043,1631296370,157347440,,36,75,70,74
2021/09/10/13:52:50.185269,2044,1631296370,184459686,,37,75,70,74
2021/09/10/13:52:50.201175,2045,1631296370,200336456,,38,75,70,74
2021/09/10/13:52:50.226929,2046,1631296370,226297616,,39,75,70,74
2021/09/10/13:52:50.243456,2047,1631296370,242407321,,40,76,77,75
2021/09/10/13:52:50.258978,2048,1631296370,258169174,,41,76,77,75
2021/09/10/13:52:50.284855,2049,1631296370,284220218,,42,76,77,75
2021/09/10/13:52:50.300943,2050,1631296370,300123929,,43,76,77,75
2021/09/10/13:52:50.326633,2051,1631296370,326041221,,44,76,77,75
2021/09/10/13:52:50.342766,2052,1631296370,342057466,,45,76,77,75
2021/09/10/13:52:50.358653,2053,1631296370,357988595,,46,76,77,75
2021/09/10/13:52:50.384544,2054,1631296370,383954763,,47,76,77,75
2021/09/10/13:52:50.400939,2055,1631296370,400011301,,48,79,75,76
2021/09/10/13:52:50.426154,2056,1631296370,425795316,,49,79,75,76
2021/09/10/13:52:50.441909,2057,1631296370,441640138,,50,79,75,76
2021/09/10/13:52:50.458355,2058,1631296370,457772731,,51,79,75,76
2021/09/10/13:52:50.484300,2059,1631296370,483715534,,52,79,75,76
2021/09/10/13:52:50.500155,2060,1631296370,499722719,,53,79,75,76
2021/09/10/13:52:50.525940,2061,1631296370,525584697,,54,79,75,76
2021/09/10/13:52:50.541727,2062,1631296370,541460514,,55,82,75,79
2021/09/10/13:52:50.557994,2063,1631296370,557515621,,56,82,76,79
2021/09/10/13:52:50.583772,2064,1631296370,583492517,,57,82,76,79
2021/09/10/13:52:50.599836,2065,1631296370,599402427,,58,82,76,79
2021/09/10/13:52:50.625729,2066,1631296370,625380516,,59,82,76,79
2021/09/10/13:52:50.641667,2067,1631296370,641291618,,60,82,76,79
2021/09/10/13:52:50.658207,2068,1631296370,657471895,,61,82,76,79
2021/09/10/13:52:50.684687,2069,1631296370,684352874,,62,82,76,79
2021/09/10/13:52:50.701079,2070,1631296370,700344800,,63,82,79,81
2021/09/10/13:52:50.726570,2071,1631296370,726176977,,64,82,79,81
2021/09/10/13:52:50.742784,2072,1631296370,742213964,,65,82,79,81
2021/09/10/13:52:50.759093,2073,1631296370,758289575,,66,82,79,81
2021/09/10/13:52:50.784420,2074,1631296370,784062862,,67,82,79,81
2021/09/10/13:52:50.800532,2075,1631296370,800103425,,68,82,79,81
2021/09/10/13:52:50.826442,2076,1631296370,826014757,,69,82,79,81
2021/09/10/13:52:50.842458,2077,1631296370,841971635,,70,84,79,80
2021/09/10/13:52:50.858566,2078,1631296370,858077526,,71,84,80,80
2021/09/10/13:52:50.884659,2079,1631296370,883948087,,72,84,80,80
2021/09/10/13:52:50.900723,2080,1631296370,900030851,,73,84,80,80
2021/09/10/13:52:50.926425,2081,1631296370,925880193,,74,84,80,80
2021/09/10/13:52:50.942127,2082,1631296370,941825389,,75,84,80,80
2021/09/10/13:52:50.958355,2083,1631296370,957901954,,76,84,80,80
2021/09/10/13:52:50.984330,2084,1631296370,983841896,,77,82,89,80
2021/09/10/13:52:51.000375,2085,1631296370,999742269,,78,82,89,80
2021/09/10/13:52:51.026114,2086,1631296371,25721788,,79,82,89,80
2021/09/10/13:52:51.042369,2087,1631296371,41722536,,80,82,89,80
2021/09/10/13:52:51.058427,2088,1631296371,57738780,,81,82,89,80
2021/09/10/13:52:51.084090,2089,1631296371,83598852,,82,82,89,80
2021/09/10/13:52:51.100166,2090,1631296371,99612951,,83,82,89,80
2021/09/10/13:52:51.125834,2091,1631296371,125516653,,84,85,87,80
2021/09/10/13:52:51.141955,2092,1631296371,141481637,,85,85,87,84
2021/09/10/13:52:51.158333,2093,1631296371,157638072,,86,85,87,84
2021/09/10/13:52:51.183921,2094,1631296371,183473348,,87,85,87,84
2021/09/10/13:52:51.199794,2095,1631296371,199339866,,88,85,87,84
2021/09/10/13:52:51.225574,2096,1631296371,225275039,,89,85,87,84
2021/09/10/13:52:51.241696,2097,1631296371,241300106,,90,85,87,84
2021/09/10/13:52:51.257944,2098,1631296371,257372856,,91,88,83,88
2021/09/10/13:52:51.284682,2099,1631296371,284247875,,92,88,83,88
2021/09/10/13:52:51.300761,2100,1631296371,300241231,,93,88,83,88
2021/09/10/13:52:51.326767,2101,1631296371,326284885,,94,88,83,88
2021/09/10/13:52:51.342286,2102,1631296371,342050552,,95,88,83,88
